cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,clock_digital.started,direction_txt.started,key_resp.started,clock_digital.stopped,direction_txt.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
1,7,18,右下,1,1,1,0,1,0,0,5,5,0,,,,,,,,,,,,,,,89,104.854312,104.9540811,104.9540811,107.3477109,107.3477109,107.3477109,1,1,1,2.0942778,None,107.3477109,107.8464582,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,17,12,左上,0,2,1,0,1,0,0,6,6,5,,,,,,,,,,,,,,,25,107.8464582,107.9458619,107.9458619,110.3395301,110.3395301,110.3395301,0,1,0,1.0425431,None,110.3395301,110.8381617,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,13,31,左上,0,2,1,0,1,0,0,7,7,3,,,,,,,,,,,,,,,16,110.8381617,110.9385682,110.9385682,113.331924,113.331924,113.331924,1,2,1,1.8280746,None,113.331924,113.8306733,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,17,52,右下,0,2,1,0,1,0,0,8,8,2,,,,,,,,,,,,,,,71,113.8306733,113.9305942,113.9305942,116.3239561,116.3239561,116.3239561,1,2,1,1.3428128,None,116.3239561,116.8225015,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,15,40,右下,0,2,1,0,1,0,0,9,9,1,,,,,,,,,,,,,,,15,116.8225015,116.9226144,116.9226144,119.316285,119.316285,119.316285,1,2,1,1.6045655,None,,,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.316285,149.2707638,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,11,38,左上,0,2,2,0,2,0,0,0,0,8,,,,,,,,,,,149.2707638,151.2657565,151.2657565,151.7687197,60,151.7687197,151.8644158,151.8644158,154.2579932,154.2579932,154.2579932,1,2,1,1.3669156,None,154.2579932,154.7567757,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,14,14,右上,1,1,2,0,2,0,0,1,1,9,,,,,,,,,,,,,,,47,154.7567757,154.8563923,154.8563923,157.2497011,157.2497011,157.2497011,1,1,1,1.8203143,None,157.2497011,157.7486723,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,13,56,右下,0,2,2,0,2,0,0,2,2,0,,,,,,,,,,,,,,,48,157.7486723,157.8487106,157.8487106,160.2422597,160.2422597,160.2422597,1,2,1,1.5790338,None,160.2422597,160.740689,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,10,56,右上,0,2,2,0,2,0,0,3,3,2,,,,,,,,,,,,,,,92,160.740689,160.8405947,160.8405947,163.2343599,163.2343599,163.2343599,0,1,0,1.9240651,None,163.2343599,163.7328184,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,10,35,左下,1,1,2,0,2,0,0,4,4,6,,,,,,,,,,,,,,,10,163.7328184,163.8327634,163.8327634,166.2261969,166.2261969,166.2261969,1,1,1,1.48329,None,166.2261969,166.7249646,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,10,16,右下,1,1,2,0,2,0,0,5,5,4,,,,,,,,,,,,,,,11,166.7249646,166.8251901,166.8251901,169.2188589,169.2188589,169.2188589,0,None,0,,,169.2188589,169.7174188,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,10,28,右下,1,1,2,0,2,0,0,6,6,5,,,,,,,,,,,,,,,12,169.7174188,169.8170173,169.8170173,172.2104182,172.2104182,172.2104182,1,1,1,0.9413629,None,172.2104182,172.7096163,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,11,58,右上,0,2,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,77,172.7096163,172.8093763,172.8093763,175.2029831,175.2029831,175.2029831,1,2,1,0.8587869,None,175.2029831,175.7017426,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,18,39,左下,1,1,2,0,2,0,0,8,8,1,,,,,,,,,,,,,,,56,175.7017426,175.8014735,175.8014735,178.1950747,178.1950747,178.1950747,0,None,0,,,178.1950747,178.6935134,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
